X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.510802284161,57.7401661643966,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e2e08388-eddb-498f-89f4-fbcbd162717a },,6E,
-152.510752856233,57.7400719190416,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e2e08388-eddb-498f-89f4-fbcbd162717a },,6E,
-152.401838992897,57.7921379230183,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 0417e2c4-7d01-4754-9406-83f11654f2a4 },,89,
-152.401184428613,57.7921316005659,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 0417e2c4-7d01-4754-9406-83f11654f2a4 },,89,
-152.396559213691,57.7900054850276,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 2e1ae936-0ed8-42e3-93e7-be926ea74fff },,8A,
-152.396170666795,57.7898470297474,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 2e1ae936-0ed8-42e3-93e7-be926ea74fff },,8A,
-152.396961986116,57.7902667059263,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ dc382975-5bd3-427d-ac2a-e5e809540202 },,8B,
-152.396559213691,57.7900054850276,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ dc382975-5bd3-427d-ac2a-e5e809540202 },,8B,
-152.397357768586,57.7903840951349,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 77890085-2bc2-48a9-8d96-d66a87503e99 },,8C,
-152.396961986116,57.7902667059263,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 77890085-2bc2-48a9-8d96-d66a87503e99 },,8C,
-152.397798283313,57.7906027626122,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 8c3fe11f-e055-4570-9389-04d4208c79ff },,8D,
-152.397357768586,57.7903840951349,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 8c3fe11f-e055-4570-9389-04d4208c79ff },,8D,
-152.398401347039,57.7908732829537,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ c4e350c7-4416-46ae-a34f-16602ec80c8a },,8E,
-152.397798283313,57.7906027626122,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ c4e350c7-4416-46ae-a34f-16602ec80c8a },,8E,
-152.398642050198,57.7909910833014,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 2031010a-b708-48e8-b32e-b6a9169f56c2 },,8F,
-152.398401347039,57.7908732829537,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 2031010a-b708-48e8-b32e-b6a9169f56c2 },,8F,
-152.39905399335,57.7911799463022,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 2823741c-5c93-4103-b042-3aae23d01d95 },,90,
-152.398642050198,57.7909910833014,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 2823741c-5c93-4103-b042-3aae23d01d95 },,90,
-152.399427610528,57.7913441816977,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 3630c5bf-ed0b-48d0-b684-8c30c1e4630a },,91,
-152.39905399335,57.7911799463022,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 3630c5bf-ed0b-48d0-b684-8c30c1e4630a },,91,
-152.399419541451,57.7917454565554,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ f1c8f642-4279-4724-ba81-8d4bca63df20 },,92,
-152.399427610528,57.7913441816977,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ f1c8f642-4279-4724-ba81-8d4bca63df20 },,92,
-152.399426261569,57.792115979598,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 5154ca09-298b-4087-a026-f4080d7a600b },,93,
-152.399419541451,57.7917454565554,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 5154ca09-298b-4087-a026-f4080d7a600b },,93,
-152.400292098994,57.792123883817,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 61840244-f55d-4453-88c0-eccdf19c8fe4 },,94,
-152.399426261569,57.792115979598,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 61840244-f55d-4453-88c0-eccdf19c8fe4 },,94,
-152.401184428613,57.7921316005659,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ f4116795-04d1-4a05-815a-aa27a8962d18 },,95,
-152.400292098994,57.792123883817,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ f4116795-04d1-4a05-815a-aa27a8962d18 },,95,
-152.402546379313,57.7921386263162,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 50f456b9-5b5d-44b5-9f9a-ff814d0061d7 },,96,
-152.401838992897,57.7921379230183,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 50f456b9-5b5d-44b5-9f9a-ff814d0061d7 },,96,
-152.40325383854,57.7921448004792,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 62c0f389-4136-4fc3-bc4f-975952e3a417 },,97,
-152.402546379313,57.7921386263162,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 62c0f389-4136-4fc3-bc4f-975952e3a417 },,97,
-152.404013888586,57.7921488611297,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ b0a60cb8-40b5-47fe-b312-418c6420978d },,98,
-152.40325383854,57.7921448004792,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ b0a60cb8-40b5-47fe-b312-418c6420978d },,98,
-152.404588383309,57.7921451345118,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 901f15ea-c584-478e-8165-eb29d237883c },,99,
-152.404013888586,57.7921488611297,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 901f15ea-c584-478e-8165-eb29d237883c },,99,
-152.405096316218,57.7921525529839,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 945b3e28-6bfe-4121-a886-920510ecd475 },,9A,
-152.404588383309,57.7921451345118,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 945b3e28-6bfe-4121-a886-920510ecd475 },,9A,
-152.405520224746,57.7924829722416,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ a4010b21-69d3-455d-96a9-847614bf49e4 },,9B,
-152.405096316218,57.7921525529839,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ a4010b21-69d3-455d-96a9-847614bf49e4 },,9B,
-152.406031782256,57.7928646885001,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ afa36812-b22e-4ef2-8c9e-9ada2fe1ec0d },,9C,
-152.405520224746,57.7924829722416,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ afa36812-b22e-4ef2-8c9e-9ada2fe1ec0d },,9C,
-152.407296397613,57.7937937050352,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 6f84ae63-ee7d-48e4-be86-0c212253a82d },,9D,
-152.406031782256,57.7928646885001,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 6f84ae63-ee7d-48e4-be86-0c212253a82d },,9D,
-152.407379338451,57.797936391417,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 2e6c365a-4a86-4e95-bb5b-c4863f6e68fd },,9E,
-152.40634531013,57.7983676375109,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 2e6c365a-4a86-4e95-bb5b-c4863f6e68fd },,9E,
-152.408438812599,57.7974971402303,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ d55c5078-dcff-4f25-8eeb-1d699d80801e },,9F,
-152.407379338451,57.797936391417,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ d55c5078-dcff-4f25-8eeb-1d699d80801e },,9F,
-152.409313559216,57.7964516328646,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e447c92e-4bb9-4574-8960-71569abec57c },,A0,
-152.408438812599,57.7974971402303,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e447c92e-4bb9-4574-8960-71569abec57c },,A0,
-152.410105473982,57.7959127657761,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 69ec99b4-4788-4818-bb31-1e24b746f5dc },,A1,
-152.409313559216,57.7964516328646,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 69ec99b4-4788-4818-bb31-1e24b746f5dc },,A1,
-152.409862738744,57.7957266682428,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 8c6a98eb-1de7-4910-b6b5-c3e61f022734 },,A2,
-152.410105473982,57.7959127657761,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 8c6a98eb-1de7-4910-b6b5-c3e61f022734 },,A2,
-152.410283770871,57.796080321904,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ df9b3278-4fc8-410a-a10c-e43a97e43d53 },,A3,
-152.409350464236,57.7964704417078,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ df9b3278-4fc8-410a-a10c-e43a97e43d53 },,A3,
-152.408481556861,57.7975113264719,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 46d9b65b-a965-408f-972b-90e8dfd27163 },,A4,
-152.409350464236,57.7964704417078,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 46d9b65b-a965-408f-972b-90e8dfd27163 },,A4,
-152.407411093646,57.7979578301428,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 052f806f-d9d6-476e-8611-03207b4bae7d },,A5,
-152.408481556861,57.7975113264719,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 052f806f-d9d6-476e-8611-03207b4bae7d },,A5,
-152.406376175686,57.7983891601623,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 0cac7dc7-e222-4989-bf24-79e2a8bcfbe3 },,A6,
-152.407411093646,57.7979578301428,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 0cac7dc7-e222-4989-bf24-79e2a8bcfbe3 },,A6,
-152.405326852482,57.7987007553965,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 5fbebc8f-870c-4cc1-a5cc-0cab0741f404 },,A7,
-152.40634531013,57.7983676375109,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 5fbebc8f-870c-4cc1-a5cc-0cab0741f404 },,A7,
-152.404548197615,57.7985422391316,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 4e9d838c-e907-4367-972e-179525a7ee16 },,A8,
-152.405326852482,57.7987007553965,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 4e9d838c-e907-4367-972e-179525a7ee16 },,A8,
-152.40534788273,57.798805143454,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 2421a653-dc4e-426d-84f1-105fc56c116d },,A9,
-152.406376175686,57.7983891601623,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 2421a653-dc4e-426d-84f1-105fc56c116d },,A9,
-152.404419087187,57.7986985889212,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 39a6cd24-8b42-47a7-a143-21cdb2fa6fc6 },,AA,
-152.40534788273,57.798805143454,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 39a6cd24-8b42-47a7-a143-21cdb2fa6fc6 },,AA,
-152.51679098066,57.7641592493687,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 93a658fb-46da-493c-b798-ed6f592cec43 },,AB,
-152.51320836161,57.7618514144754,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 93a658fb-46da-493c-b798-ed6f592cec43 },,AB,
-152.519827078328,57.7661147204173,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ f6edbc97-bfef-4c6e-86d6-905652b03d4f },,AC,
-152.51679098066,57.7641592493687,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ f6edbc97-bfef-4c6e-86d6-905652b03d4f },,AC,
-152.524134838212,57.7667892177573,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 563fd592-6973-4ad4-8a4e-7c52bd30a8e8 },,AD,
-152.519827078328,57.7661147204173,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 563fd592-6973-4ad4-8a4e-7c52bd30a8e8 },,AD,
-152.527086650997,57.7672513057161,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ f90dd5bd-3f9c-48cb-85a9-7397ebee706e },,AE,
-152.524134838212,57.7667892177573,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ f90dd5bd-3f9c-48cb-85a9-7397ebee706e },,AE,
-152.534082644227,57.7683461639389,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ d7bc448e-9a77-4fa8-bc57-f5c710020b5d },,AF,
-152.527086650997,57.7672513057161,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ d7bc448e-9a77-4fa8-bc57-f5c710020b5d },,AF,
-152.537224443822,57.7688377020364,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 1400a2cf-cabc-434b-9d6d-99d25d9e45ee },,B0,
-152.534082644227,57.7683461639389,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 1400a2cf-cabc-434b-9d6d-99d25d9e45ee },,B0,
-152.542135890805,57.7696059210235,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 261318ec-352d-4c8e-babd-e90cd59af75b },,B1,
-152.537224443822,57.7688377020364,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 261318ec-352d-4c8e-babd-e90cd59af75b },,B1,
-152.545520743974,57.7701352298683,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 06e8002e-49e5-4cbe-8b33-e35a49d144a5 },,B2,
-152.542135890805,57.7696059210235,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 06e8002e-49e5-4cbe-8b33-e35a49d144a5 },,B2,
-152.549325013986,57.770729999187,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 5212f1da-8a5f-42eb-9b45-56939090a028 },,B3,
-152.545520743974,57.7701352298683,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 5212f1da-8a5f-42eb-9b45-56939090a028 },,B3,
-152.552304515901,57.7711957289348,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ d5e9213c-5916-4ddc-8fd2-6f36a3894b8e },,B4,
-152.549325013986,57.770729999187,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ d5e9213c-5916-4ddc-8fd2-6f36a3894b8e },,B4,
-152.557957966932,57.7720792020169,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ cda98a6c-ca58-470f-ae42-99aab307391f },,B5,
-152.552304515901,57.7711957289348,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ cda98a6c-ca58-470f-ae42-99aab307391f },,B5,
-152.564780334105,57.7731449508732,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e027dfa0-d954-45ae-a5ea-b33938b4f3f2 },,B6,
-152.557957966932,57.7720792020169,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e027dfa0-d954-45ae-a5ea-b33938b4f3f2 },,B6,
-152.571542405476,57.7729033750015,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e81ad4a4-54dc-40b3-9824-513f64064e68 },,B7,
-152.564780334105,57.7731449508732,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e81ad4a4-54dc-40b3-9824-513f64064e68 },,B7,
-152.575497415785,57.7727212189736,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ c2642a41-b5a6-42f2-865e-335723201c91 },,B8,
-152.571542405476,57.7729033750015,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ c2642a41-b5a6-42f2-865e-335723201c91 },,B8,
-152.580296450921,57.7725000213426,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 5af530e2-9941-4ca5-841f-d6f31dfba1e3 },,B9,
-152.575497415785,57.7727212189736,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 5af530e2-9941-4ca5-841f-d6f31dfba1e3 },,B9,
-152.584148963475,57.7723021723497,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 41b61566-0d5d-4c3f-8f1d-4c0204fb47ad },,BA,
-152.580296450921,57.7725000213426,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 41b61566-0d5d-4c3f-8f1d-4c0204fb47ad },,BA,
-152.588403848697,57.7720376217095,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 0de8313c-7a60-4429-8c16-b98351826804 },,BB,
-152.584148963475,57.7723021723497,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 0de8313c-7a60-4429-8c16-b98351826804 },,BB,
-152.593123898587,57.7716807074888,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e6f32cfc-b1cb-47d9-9df6-4517fa574499 },,BC,
-152.588403848697,57.7720376217095,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e6f32cfc-b1cb-47d9-9df6-4517fa574499 },,BC,
-152.598091741177,57.7716782075473,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ eaf65fd0-e71f-4d9f-a0d9-25077f0041a1 },,BD,
-152.593123898587,57.7716807074888,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ eaf65fd0-e71f-4d9f-a0d9-25077f0041a1 },,BD,
-152.603302316071,57.7714370988951,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 90b686d3-d681-431b-9ed4-989f28997822 },,BE,
-152.598091741177,57.7716782075473,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 90b686d3-d681-431b-9ed4-989f28997822 },,BE,
-152.605804756481,57.7713212262584,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ f1211dd6-3715-447e-98d5-1f60fa4fa442 },,BF,
-152.603302316071,57.7714370988951,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ f1211dd6-3715-447e-98d5-1f60fa4fa442 },,BF,
-152.608744492103,57.7711850410559,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 118ba9e3-a08a-4526-9631-8bec1a4984d0 },,C0,
-152.605804756481,57.7713212262584,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 118ba9e3-a08a-4526-9631-8bec1a4984d0 },,C0,
-152.614687888272,57.7709094977099,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 426e0a5c-0d4b-46b9-a3df-628fc5873ad3 },,C1,
-152.608744492103,57.7711850410559,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 426e0a5c-0d4b-46b9-a3df-628fc5873ad3 },,C1,
-152.619589030467,57.7706820615703,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ b90effc6-2342-4574-8bdc-b7f157b86be6 },,C2,
-152.614687888272,57.7709094977099,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ b90effc6-2342-4574-8bdc-b7f157b86be6 },,C2,
-152.625036092464,57.7704290662739,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 20a49a9d-7f7d-4fc0-83d6-7b96b35adf38 },,C3,
-152.619589030467,57.7706820615703,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 20a49a9d-7f7d-4fc0-83d6-7b96b35adf38 },,C3,
-152.630188665569,57.7701895299804,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 008e826e-74d0-4806-8f7a-1bcb304f7ef9 },,C4,
-152.625036092464,57.7704290662739,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 008e826e-74d0-4806-8f7a-1bcb304f7ef9 },,C4,
-152.634456404095,57.7699909673437,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ df628a78-0f57-45c4-b0c5-978013f9b49b },,C5,
-152.630188665569,57.7701895299804,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ df628a78-0f57-45c4-b0c5-978013f9b49b },,C5,
-152.637668914267,57.7698414044023,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ c071b8f1-c86f-41f6-b118-becb792772e0 },,C6,
-152.634456404095,57.7699909673437,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ c071b8f1-c86f-41f6-b118-becb792772e0 },,C6,
-152.642733485449,57.7686762477356,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e0910305-0b0e-4167-a846-a8293cbaece5 },,C7,
-152.637668914267,57.7698414044023,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e0910305-0b0e-4167-a846-a8293cbaece5 },,C7,
-152.648184382421,57.7674219017055,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 9cff1c9e-36f5-4f6a-b984-028c4291b143 },,C8,
-152.642733485449,57.7686762477356,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 9cff1c9e-36f5-4f6a-b984-028c4291b143 },,C8,
-152.651315138827,57.7667013144426,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 56928d8d-e9fb-4452-a4bc-6137f545e909 },,C9,
-152.648184382421,57.7674219017055,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 56928d8d-e9fb-4452-a4bc-6137f545e909 },,C9,
-152.654767693768,57.7667608526361,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ bfbcd858-e6f2-4b0b-8442-a1483e60aa0e },,CA,
-152.651315138827,57.7667013144426,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ bfbcd858-e6f2-4b0b-8442-a1483e60aa0e },,CA,
-152.658183942895,57.7668196719987,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 0770ba79-5d98-41b1-9fe6-f5d5b3743ae4 },,CB,
-152.654767693768,57.7667608526361,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 0770ba79-5d98-41b1-9fe6-f5d5b3743ae4 },,CB,
-152.662202312402,57.7668938558239,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 3b2d2a5f-2227-4c0a-a21f-09c79ad12afb },,CC,
-152.658183942895,57.7668196719987,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 3b2d2a5f-2227-4c0a-a21f-09c79ad12afb },,CC,
-152.664851561006,57.7665781506592,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 53b9e33a-6bb4-4e69-8d10-901c2d428a8d },,CD,
-152.662202312402,57.7668938558239,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 53b9e33a-6bb4-4e69-8d10-901c2d428a8d },,CD,
-152.670117432462,57.7659504471198,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 7bfb8fc3-0a42-47af-ae44-61ca916d2e0c },,CE,
-152.664851561006,57.7665781506592,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 7bfb8fc3-0a42-47af-ae44-61ca916d2e0c },,CE,
-152.673631918269,57.7647301361241,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 5faff9b7-5407-4b36-b943-f86d85288052 },,CF,
-152.670117432462,57.7659504471198,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 5faff9b7-5407-4b36-b943-f86d85288052 },,CF,
-152.677779085623,57.7632899109977,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ d8f1ccd2-bd25-4500-877f-8f8573d447dc },,D0,
-152.673631918269,57.7647301361241,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ d8f1ccd2-bd25-4500-877f-8f8573d447dc },,D0,
-152.681707813216,57.7619253133521,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 81dd48ac-19d8-4cab-9705-4f3ed891af24 },,D1,
-152.677779085623,57.7632899109977,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 81dd48ac-19d8-4cab-9705-4f3ed891af24 },,D1,
-152.684337534234,57.7610117842807,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ c1b80de5-1505-447f-b2a4-8b828af714b2 },,D2,
-152.681707813216,57.7619253133521,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ c1b80de5-1505-447f-b2a4-8b828af714b2 },,D2,
-152.689502565253,57.7592172286285,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 862abe2f-437d-475d-b6d4-f16ef7f6a1fa },,D3,
-152.684337534234,57.7610117842807,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 862abe2f-437d-475d-b6d4-f16ef7f6a1fa },,D3,
-152.692631129791,57.7581300398112,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ fbb43ad3-4f38-46a1-a3cd-f583af3a3a50 },,D4,
-152.689502565253,57.7592172286285,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ fbb43ad3-4f38-46a1-a3cd-f583af3a3a50 },,D4,
-152.695896862921,57.7569950315117,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ bf1f5ef9-0be1-459f-89b8-86762abf5208 },,D5,
-152.692631129791,57.7581300398112,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ bf1f5ef9-0be1-459f-89b8-86762abf5208 },,D5,
-152.698919091903,57.754385587705,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 67845c4f-f811-4b8c-94a6-2432c9145ee7 },,D6,
-152.695896862921,57.7569950315117,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 67845c4f-f811-4b8c-94a6-2432c9145ee7 },,D6,
-152.701627245554,57.7520469374402,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 94419e7d-61e6-468a-8927-73ce8fc0e01f },,D7,
-152.698919091903,57.754385587705,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 94419e7d-61e6-468a-8927-73ce8fc0e01f },,D7,
-152.704291941553,57.7497454606942,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ cbee6d3c-468c-4085-b8f0-a8eb3f6408b9 },,D8,
-152.701627245554,57.7520469374402,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ cbee6d3c-468c-4085-b8f0-a8eb3f6408b9 },,D8,
-152.706367420662,57.7479526420956,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 590f6405-9ebc-4d59-b6d6-9d984822e15a },,D9,
-152.704291941553,57.7497454606942,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 590f6405-9ebc-4d59-b6d6-9d984822e15a },,D9,
-152.708803636337,57.7458479434027,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e2de4d9a-f2a1-4a02-8661-ff24e8f85d46 },,DA,
-152.706367420662,57.7479526420956,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e2de4d9a-f2a1-4a02-8661-ff24e8f85d46 },,DA,
-152.710682593072,57.7442244716146,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 09cff30e-30b7-40b5-878a-13bad118e073 },,DB,
-152.708803636337,57.7458479434027,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 09cff30e-30b7-40b5-878a-13bad118e073 },,DB,
-152.71223928409,57.7428793139363,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 4e06e7f3-ac0c-4e94-8e87-ce5360231a7d },,DC,
-152.710682593072,57.7442244716146,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 4e06e7f3-ac0c-4e94-8e87-ce5360231a7d },,DC,
-152.713788049549,57.7415408855917,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 86ffebd2-702d-47f4-a25b-cefb1865cbfa },,DD,
-152.71223928409,57.7428793139363,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 86ffebd2-702d-47f4-a25b-cefb1865cbfa },,DD,
-152.717621362646,57.7382276613546,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 1515975f-34d6-473c-bf1c-4ae09d958830 },,DE,
-152.713788049549,57.7415408855917,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 1515975f-34d6-473c-bf1c-4ae09d958830 },,DE,
